Set,Profile,expressivity,class_count,indiv_count,obj_property_count,dataproperty_count,datatypes_count,Cyclic Cls,HC_Cohesion,HC_MAX_DEPTH,HC_Max_Sibling,HC_Avg_Sibling,C_Tangledness,C_MaxTangledness,HP_Cohesion,P_Tangledness,P_MaxTangledness,HP_MAX_DEPTH,HP_Max_Sibling,HP_Avg_Sibling,OP_Cohesion,Onto_Cohesion,RRichness,AttRichness,UI,EUR,Axioms_count,AxiomsLogical_count,Tbox_size,Abox_size,Rbox_size,Tbox_ratio,Abox_ratio,Rbox_ratio,GCI,PCD,NPCD,GCI_Ratio,PCD_Ratio,NPCD_Ratio,MaxNesting,AvgNesting,ClsDisjoinedRatio,ClsWithNominalsRatio,IndivSameRatio,IndivDiffRatio,NominalsTBoxRatio,MaxACC,OntoCCDensity,Intersection,Union,Existentiel,Universal,LeastCardinality,MostCardinality,ExactCardinality,avgValuesCard,LogestMCard,LogestLCard,LogestECard,Complement,OneOf,HasValue,HasSelf,InversePropRatio,TransitivePropRatio,ReflexivePropRatio,IrreflexivePropRatio,SymmetricPropRatio,AsymmetricPropRatio,FunctionalPropRatio,InverseFuncPropRatio,HierarchyPropRatio,SubClassOf,InverseObjectProperties,SubObjectPropertyOf,FunctionalObjectProperty,TransitiveObjectProperty,EquivalentClasses,DisjointClasses,SubPropertyChainOf,ObjectPropertyRange,ObjectPropertyDomain,DisjointUnion,ClassAssertion,DataPropertyRange,DataPropertyDomain,ObjectPropertyAssertion,DataPropertyAssertion,DifferentIndividuals,SymmetricObjectProperty,ReflexiveObjectProperty,InverseFunctionalObjectProperty,EquivalentDataProperties,SameIndividual,EquivalentObjectProperties,SubDataPropertyOf,FunctionalDataProperty,IrrefexiveObjectProperty,AsymmetricObjectProperty,DisjointObjectProperties
Train,DL,ALEHIF+,2748,0,413,0,0,0.005,0.004,13,77,4.112,0,1,0.032,0.484,2,10,12,3.128,0,0.018,0,0,0,0,7897,4736,3937,0,799,83.129,0,16.871,411,2817,661,10.439,71.552,16.789,29,3.914,0,0,0,0,0,18,0.076806931,36.634,0,63.366,0,0,0,0,0,0,0,0,0,0,0,0,100,5.857,0,0,0,0,63.932,0,100,68.37,4.371,8.784,3.167,0.549,14.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,EL,ALEH,2748,0,413,0,0,0,0.004,13,77,4.112,0,1,0.032,0.484,2,10,12,3.128,0,0.018,0,0,0,0,7756,4595,4179,0,416,90.947,0,9.053,427,3025,651,10.218,72.386,15.578,29,3.932,0,0,0,0,0,18,0.078022387,35.1,0,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75.734,0,9.053,0,0,15.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIQ,56632,0,198,0,0,0.435,0.002,23,691,4.494,0.009,8,0.007,1.515,3,4,7,1.636,0,0.003,0.002,0,0,0,184312,127483,127309,0,174,99.864,0,0.136,11562,85702,1647,9.082,67.318,1.294,9,2.605,0.459,0,0,0,0,4,0.124814428,20.776,0.028,79.168,0,0,0,0,0,0,0,2,0,0,0,0,57.479,55.981,0,0,0,0,0,0,88.003,89.899,0.01,0.042,0.001,0.014,9.74,0.224,0.023,0.024,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SRIF,36495,0,17,0,0,0.719,0.003,16,691,4.088,0.014,8,0.044,0,1,2,2,1.5,0,0.016,0,0,0,0,112910,76399,76379,0,20,99.974,0,0.026,7625,46354,0,9.983,60.689,0,11,2.479,0.025,0,0,0,0,5,0.075777373,26.355,0.003,73.641,0,0,0,0,0,0,0,0,0,0,0,0,40.336,40.336,0,0,0,0,0,0,60.26,89.982,0.003,0.004,0.001,0.004,9.983,0.008,0.004,0.005,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALUOI(D),84,5,11,6,2,0,0.079,4,13,6.083,0,1,0,0,0,0,0,0,0.001,0.04,0.128,0.071,0,0,210,109,75,5,29,68.807,4.587,26.606,0,73,2,0,97.333,2.667,2,2,0,2.381,0,0,100,1,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,66.972,0.917,0,0,0,1.835,0,0,10.092,10.092,0,4.587,5.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SIN(D),54,21,19,22,4,2.28,0.087,4,5,2.263,3.774,2,0,0,0,0,0,0,0.001,0.044,0.295,0.407,0,0,259,165,59,21,85,35.758,12.727,51.515,0,55,0,0,93.22,0,5,2.119,9.259,0,0,0,0,1,0.118644068,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,33.333,0.606,0,0,1.212,0,2.424,0,11.515,11.515,0,12.727,13.333,13.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,ALEHI+(D),43,17174,25,6,1,0,0.099,4,6,3.091,0,1,0.037,0,1,3,3,1.667,0.002,0.046,0.3,0.14,0,0,100710,100636,42,100543,51,0.042,99.908,0.051,2,34,4,4.762,80.952,9.524,5,2.476,0,0,0,0,0,2,0.166666667,42.857,0,57.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0.036,0.002,0.005,0,0.001,0.006,0,0,0.018,0.021,0,18.013,0,0.004,49.024,32.87,0,0,0,0,0,0,0,0,0,0,0,0
Train,DL,SROIF(D),2769,102,61,4,1,0.047,0.006,15,948,5.97,0.108,3,0.037,1.639,2,4,4,1.8,0,0.014,0.044,0.001,0,0,6401,3568,3337,111,120,93.526,3.111,3.363,214,2584,1,6.413,77.435,0.03,7,2.193,5.887,0.325,0,12.745,99.02,3,0.043552093,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,0.905,88.235,0,0,0,0,0.905,0,88.235,83.772,0.42,0.757,0.056,0.645,6.026,3.728,0,0.392,0.504,0,2.859,0.112,0.112,0,0,0.252,0.112,0.252,0,0,0,0,0,0,0,0,0
Train,DL,SROIF(D),2748,102,60,4,1,0.047,0.007,15,924,5.375,0.109,3,0.038,1.667,2,4,4,1.8,0,0.015,0.037,0.001,0,0,6331,3520,3290,111,119,93.466,3.153,3.381,214,2563,1,6.505,77.903,0.03,7,2.196,5.386,0.328,0,12.745,99.02,3,0.044174265,44.266,2.982,50.688,0,0,0,0,0,0,0,0,0,2.064,0,0,0.905,88.235,0,0,0,0,0.905,0,88.235,84.318,0.426,0.767,0.057,0.625,6.108,3.04,0,0.398,0.511,0,2.898,0.114,0.114,0,0,0.256,0.114,0.256,0,0,0,0,0,0,0,0,0
Train,DL,SH,16302,7,4,0,0,0,0.006,14,480,3.518,0.025,6,0.667,0,1,2,2,2,0,0.336,0,0,0,0,129647,113341,32286,81052,3,28.486,71.512,0.003,0,32283,0,0,99.991,0,3,2.206,0.018,0,0,0,0,1,0.206188441,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,48.175,0,0,0,0,0,0,51.825,28.483,0,0.002,0,0.001,0,0.003,0,0,0,0,71.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
