Set,Profile,Konclude_status,More_status,Hermit_status,Fact++_status,TrOWL_status,JFact_status,Konclude_RT,More_RT,Hermit_RT,Fact++_RT,TrOWL_RT,JFact_RT
Train,DL,Correct,Unexpected,Correct,Correct,Unexpected,Correct,1149,0,4025,1546,0,11817
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,93,397,2782,344,220,4161
Train,DL,Correct,Correct,Correct,Exec_err,Timeout,Timeout,7737,3915,20761,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,15,651,422,84,121,733
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,129,4879,56188,286,0,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,92,4938,58477,257,0,0
Train,DL,Correct,Timeout,Timeout,Timeout,Unexpected,Timeout,4888,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1733,69483,123942,0,2703,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,96,4785,55769,260,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,3,536,330,24,48,127
Train,DL,Correct,Correct,Correct,Timeout,Timeout,Timeout,4368,2529,8190,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Exec_err,230,2893,3000,166,2594,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,16,309,222,49,74,919
Train,DL,Correct,Unexpected,Correct,Unexpected,Unexpected,Correct,152,0,968,0,0,3168
Train,DL,Correct,Timeout,Timeout,Timeout,Unexpected,Timeout,28163,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,48,947,1047,221,284,1272
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,543,277,34,49,153
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,7,598,472,32,202,184
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1826,4601,4385,0,6417,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,78,500,573,81,542,618
Train,DL,Correct,Unexpected,Correct,Correct,Correct,Correct,5,0,461,21,53,160
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Correct,3,574,300,39,0,160
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1417,4211,4445,0,4646,0
Train,DL,Correct,Correct,Correct,Exec_err,Unexpected,Correct,102,1604,1024,0,0,926
Train,DL,Unexpected,Timeout,Timeout,Correct,Correct,Timeout,0,0,0,102163,22188,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,3,450,204,29,48,206
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,106,500,1173,127,322,1539
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,8,590,467,32,190,184
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,3472,1074,1889,119054,1930,0
Train,DL,Correct,Unexpected,Correct,Correct,Correct,Correct,12,0,1096,66,158,467
Train,DL,Correct,Timeout,Timeout,Exec_err,Timeout,Timeout,19098,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,37,476,573,77,216,509
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,29,465,239,32,29,200
Train,DL,Correct,Unexpected,Correct,Unexpected,Unexpected,Correct,135,0,1505,0,0,3020
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,604,464,32,191,182
Train,DL,Correct,Correct,Correct,Exec_err,Correct,Timeout,3161,36299,30181,0,17792,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Exec_err,217,2864,3083,171,2575,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,593,470,32,192,184
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,14,696,406,55,147,420
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,100,4801,58932,258,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,459,1075,1113,717,589,39508
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,98,870,863,535,315,3105
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,8,593,469,32,192,206
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,52,647,581,375,528,1298
Train,DL,Correct,Correct,Correct,Exec_err,Correct,Correct,7,538,302,0,90,184
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1929,5930,5512,0,7902,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,189,628,671,338,335,5832
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Timeout,300,3194,2334,1359,0,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,93,4805,55706,256,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,89,638,587,220,284,2016
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,107,4899,57332,261,0,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Correct,75,1851,1247,418,0,1940
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,2954,1739,2686,5528,3047,0
Train,DL,Correct,Timeout,Timeout,Timeout,Unexpected,Timeout,12193,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Exec_err,2,521,276,26,62,0
Train,DL,Correct,Correct,Correct,Timeout,Timeout,Timeout,4843,3065,11078,0,0,0
Train,DL,Unexpected,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,47113,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,22,1003,2209,76,165,476
Train,DL,Correct,Correct,Correct,Correct,Correct,Exec_err,9,408,244,70,94,0
Train,DL,Correct,Timeout,Timeout,Timeout,Unexpected,Timeout,10876,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,2,479,238,32,29,125
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,2,492,246,24,34,122
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,311,1013,1479,14128,507,64360
Train,DL,Timeout,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,4676,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,107,5025,53369,245,0,0
Train,DL,Correct,Correct,Correct,Exec_err,Timeout,Timeout,6325,2444,6927,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,594,471,32,191,184
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,3,594,472,33,182,185
Train,DL,Correct,Correct,Timeout,Timeout,Timeout,Timeout,15430,22435,0,0,0,0
Train,DL,Correct,Unexpected,Correct,Correct,Correct,Timeout,1111,0,7543,3279,1080,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,93,2692,44231,308,0,0
Train,DL,Timeout,Timeout,Exec_err,Timeout,Correct,Timeout,0,0,0,0,2234,0
Train,DL,Timeout,Timeout,Timeout,Exec_err,Correct,Timeout,0,0,0,0,19425,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,617,471,32,197,185
Train,DL,Timeout,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,1936,0
Train,DL,Correct,Correct,Correct,Timeout,Unexpected,Timeout,558,4276,2453,0,0,0
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,2062,5197,7088,0,5780,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,7,621,471,32,193,184
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,6019,45222,50602,33509,12523,0
Train,DL,Correct,Correct,Correct,Exec_err,Correct,Timeout,4126,1760,3775,0,3459,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,383,175,26,59,135
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,594,468,32,194,187
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,162,10534,11316,243,388,1413
Train,DL,Correct,Correct,Timeout,Timeout,Correct,Timeout,2304,5151,0,0,5225,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,5,593,466,32,185,186
Train,DL,Correct,Correct,Correct,Correct,Timeout,Timeout,4291,2144,4565,14193,0,0
Train,DL,Correct,Unexpected,Correct,Correct,Unexpected,Correct,1,0,241,21,0,111
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,2887,4097,12672,5390,6922,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,2,507,268,23,47,125
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,592,469,32,190,187
Train,DL,Correct,Unexpected,Correct,Correct,Correct,Correct,1502,0,2743,2822,1185,61967
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,38,580,486,113,150,1027
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1441,4076,4390,0,4968,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,114,1590,1375,498,674,3358
Train,DL,Correct,Timeout,Timeout,Timeout,Correct,Timeout,27527,0,0,0,4879,0
Train,DL,Exec_err,Timeout,Timeout,Exec_err,Correct,Timeout,0,0,0,0,38372,0
Train,DL,Correct,Correct,Correct,Timeout,Correct,Timeout,1552,4925,4541,0,6411,0
Train,DL,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,0,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,601,469,32,196,185
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,2,338,284,23,42,119
Train,DL,Correct,Timeout,Timeout,Timeout,Correct,Timeout,633,0,0,0,14633,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Correct,10,557,321,24,0,217
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,3776,1639,3727,57419,3314,0
Train,DL,Timeout,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,5166,0
Train,DL,Correct,Timeout,Timeout,Exec_err,Timeout,Timeout,7658,0,0,0,0,0
Train,DL,Unexpected,Timeout,Timeout,Unexpected,Correct,Exec_err,0,0,0,0,4412,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,5,368,137,25,62,414
Train,DL,Correct,Correct,Correct,Correct,Timeout,Timeout,4122,2299,4453,14456,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,3,524,275,22,70,131
Train,DL,Unexpected,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,51968,0
Train,DL,Correct,Correct,Correct,Timeout,Correct,Correct,129,47981,47732,0,5070,2400
Train,DL,Correct,Correct,Correct,Timeout,Unexpected,Timeout,3501,51281,78046,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Correct,51,1091,871,328,0,1318
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,596,468,32,198,184
Train,DL,Correct,Timeout,Timeout,Timeout,Timeout,Timeout,17582,0,0,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Exec_err,124,4274,11622,112718,262,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,3,539,274,29,53,143
Train,DL,Correct,Correct,Correct,Timeout,Unexpected,Timeout,119,1858,1596,0,0,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,9,604,474,32,200,187
Train,DL,Correct,Timeout,Timeout,Unexpected,Unexpected,Correct,372,0,0,0,0,2088
Train,DL,Exec_err,Timeout,Timeout,Timeout,Correct,Timeout,0,0,0,0,11001,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,4,266,238,22,34,133
Train,DL,Correct,Correct,Correct,Correct,Correct,Timeout,69,610,1214,4090,206,0
Train,DL,Correct,Correct,Correct,Correct,Correct,Correct,161,1807,2060,549,1829,3425
Train,DL,Correct,Timeout,Timeout,Timeout,Correct,Timeout,4271,0,0,0,12233,0
Train,DL,Correct,Correct,Correct,Exec_err,Correct,Unexpected,11,530,315,0,109,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Correct,5,399,327,25,0,228
Train,DL,Correct,Timeout,Timeout,Timeout,Correct,Timeout,10848,0,0,0,9945,0
Train,DL,Correct,Correct,Correct,Correct,Unexpected,Exec_err,96,4802,57725,259,0,0
Train,DL,Timeout,Correct,Timeout,Timeout,Correct,Timeout,0,2832,0,0,3140,0
